mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_epochs,param_optimizer,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
11.260052998860678,0.15144925256413164,0.18423962593078613,0.026308612374567737,5,100,SGD,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'SGD'}",0.83262672492482,0.8112635746317527,0.8671076700498974,0.8369993232021568,0.023006962135245626,19
11.714264710744223,0.30188282799727384,0.20949196815490723,0.014610770314809344,5,100,RMSprop,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'RMSprop'}",0.8577692788294891,0.8110371248256422,0.870099960067842,0.846302121240991,0.02543916146523433,4
11.510239521662394,0.5484733187529086,0.1701794465382894,0.042328923683548424,5,100,Adagrad,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'Adagrad'}",0.8585637946703241,0.8140410829140156,0.8724356688742035,0.8483468488195144,0.02491012383555768,2
11.694200913111368,0.1661357149674795,0.1766517162322998,0.031107715660065167,5,100,Adadelta,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'Adadelta'}",0.8333201080790232,0.8061038571952244,0.8742142174351315,0.8378793942364596,0.02799220856716531,17
11.707690715789795,0.38208303930453175,0.15227166811625162,0.03580302497594841,5,100,Adam,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'Adam'}",0.855559126050635,0.8066858692973301,0.8739114299911712,0.8453854751130455,0.028371891990727566,6
11.995113849639893,0.14784274805005312,0.16073179244995117,0.023434798022489246,5,100,Adamax,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'Adamax'}",0.8421579696904746,0.8027236771037588,0.8598344286933794,0.8349053584958709,0.0238727147407231,22
11.634669462839762,0.3909713120094016,0.134993314743042,0.004914190224811753,5,100,Nadam,"{'batch_size': 5, 'epochs': 100, 'optimizer': 'Nadam'}",0.8409098486095808,0.8113273153305967,0.8609328975221286,0.8377233538207687,0.0203763548902407,18
22.407148599624634,0.24009249373307462,0.1563558578491211,0.03249477932880597,5,200,SGD,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'SGD'}",0.8615076553126522,0.8246924021902948,0.8647134499300624,0.8503045024776698,0.01815771719554652,1
22.831358512242634,0.31632629630332815,0.17606409390767416,0.02066638764049779,5,200,RMSprop,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'RMSprop'}",0.8562155620886258,0.8105982430163026,0.8588217630092652,0.8418785227047311,0.02214407360671511,10
22.73100201288859,0.20082168555632346,0.16275954246520996,0.039221195868153494,5,200,Adagrad,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'Adagrad'}",0.8569691448011805,0.8105674597612003,0.8630494191908075,0.8435286745843961,0.02343890919146958,8
24.294628779093426,0.6447874237569144,0.17282915115356445,0.024165220172678005,5,200,Adadelta,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'Adadelta'}",0.8556687130142777,0.796007263668044,0.8725592509561465,0.841411742546156,0.03283796171746071,11
24.790599822998047,0.22956352199707897,0.18889466921488443,0.022791055700727536,5,200,Adam,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'Adam'}",0.8533403033473212,0.8026967148778197,0.8774052989285939,0.8444807723845783,0.031136383855309303,7
25.247434616088867,0.6177391216034694,0.16015450159708658,0.023983710463449284,5,200,Adamax,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'Adamax'}",0.8342359994474476,0.8325807257213549,0.8709928599042446,0.8459365283576824,0.017730384385859766,5
24.950778007507324,0.49440298598606836,0.17870084444681802,0.028716111312571638,5,200,Nadam,"{'batch_size': 5, 'epochs': 200, 'optimizer': 'Nadam'}",0.8392552291780013,0.7997318855696761,0.8812533115979678,0.8400801421152151,0.03328609405779984,13
10.5619957447052,0.1579182794875366,0.2064026196797689,0.016836770099970994,10,100,SGD,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'SGD'}",0.8333760933184747,0.8139942492216434,0.8608869428456942,0.8360857617952707,0.019239506339307502,20
10.435842990875244,0.34461304303150725,0.19837752978006998,0.019059251250903263,10,100,RMSprop,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'RMSprop'}",0.8169673947648212,0.8256054674640749,0.853603050937861,0.8320586377222524,0.015637036816333803,24
10.346629858016968,0.29882139193773877,0.20284279187520346,0.015954889753038458,10,100,Adagrad,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'Adagrad'}",0.8434916803708052,0.8219785311243502,0.8545103761357218,0.8399935292102924,0.0135094542479782,14
10.600856939951578,0.3594221121775414,0.18252690633138022,0.002768340892087581,10,100,Adadelta,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'Adadelta'}",0.8629963899683942,0.8077166586523329,0.8562925668147228,0.84233520514515,0.02463152630506182,9
10.440624316533407,0.16412661899715875,0.20128599802652994,0.012934066115879954,10,100,Adam,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'Adam'}",0.8295355727750916,0.8049768714125345,0.8592410198201151,0.8312511546692471,0.022186435293164303,26
10.747704346974691,0.41104498493031566,0.18355623881022134,0.007962273486889299,10,100,Adamax,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'Adamax'}",0.8528197017191746,0.807647493251309,0.854789724825168,0.8384189732652172,0.02177358084842425,16
10.892816861470541,0.5593018879912118,0.21129560470581055,0.012186826479062092,10,100,Nadam,"{'batch_size': 10, 'epochs': 100, 'optimizer': 'Nadam'}",0.8214560508837192,0.7990032033530031,0.8418265261063331,0.8207619267810186,0.017489436795037748,28
